"Name","Graduation Rate by English Language Proficiency"
"Description","New York City public high school students who graduated as of June after four years of instruction.<br />
<br />
English Language Learners are students that classified as ELL as of graduation. English Language Proficient students includes students that never classified as ELLs, and students were declassified more than two year prior. Former English Language Learners are students who were classified as ELL in the prior two school years and are no longer ELL.&nbsp;"
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0"".<br />
<br />
Graduation rates for Former ELLs are not reported prior to 2009."
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2016,Percent,0.861,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2016,Percent,0.74145,SD24
"Flushing, Whitestone",English Language Learners,2016,Percent,0.26791,SD25
"Flushing, Whitestone",Former English Language Learners,2016,Percent,0.79012,SD25
"Flushing, Whitestone",English Language Proficient,2016,Percent,0.72751,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2016,Percent,0.33784,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2016,Percent,0.90503,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2016,Percent,0.85111,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2016,Percent,0.20455,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2016,Percent,0.76522,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2016,Percent,0.67219,SD27
"Jamaica, Forest Hills",English Language Learners,2016,Percent,0.23636,SD28
"Jamaica, Forest Hills",Former English Language Learners,2016,Percent,0.74026,SD28
"Jamaica, Forest Hills",English Language Proficient,2016,Percent,0.81818,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2016,Percent,0.24324,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2016,Percent,0.84,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2016,Percent,0.69366,SD29
"Long Island City, Astoria",English Language Learners,2016,Percent,0.3308,SD30
"Long Island City, Astoria",Former English Language Learners,2016,Percent,0.79399,SD30
"Long Island City, Astoria",English Language Proficient,2016,Percent,0.78172,SD30
Staten Island,English Language Learners,2016,Percent,0.21569,SD31
Staten Island,Former English Language Learners,2016,Percent,0.65217,SD31
Staten Island,English Language Proficient,2016,Percent,0.79122,SD31
Bushwick,English Language Learners,2016,Percent,0.28571,SD32
Bushwick,Former English Language Learners,2016,Percent,0.91111,SD32
Bushwick,English Language Proficient,2016,Percent,0.66089,SD32
New York City,English Language Learners,2015,Percent,0.3646,3651000
New York City,Former English Language Learners,2015,Percent,0.75244,3651000
New York City,English Language Proficient,2015,Percent,0.70421,3651000
Bronx,English Language Learners,2015,Percent,0.33211,36005
Bronx,Former English Language Learners,2015,Percent,0.72932,36005
Bronx,English Language Proficient,2015,Percent,0.61681,36005
Brooklyn,English Language Proficient,2015,Percent,0.36359,36047
Brooklyn,Former English Language Learners,2015,Percent,0.7756,36047
Brooklyn,English Language Learners,2015,Percent,0.69643,36047
Manhattan,English Language Proficient,2015,Percent,0.34824,36061
Manhattan,Former English Language Learners,2015,Percent,0.71329,36061
Manhattan,English Language Learners,2015,Percent,0.72939,36061
Queens,English Language Proficient,2015,Percent,0.41374,36081
Queens,Former English Language Learners,2015,Percent,0.78133,36081
Queens,English Language Learners,2015,Percent,0.73676,36081
Staten Island,English Language Proficient,2015,Percent,0.26126,36085
Staten Island,Former English Language Learners,2015,Percent,0.57143,36085
Staten Island,English Language Learners,2015,Percent,0.77181,36085
Lower East Side,English Language Learners,2015,Percent,0.42149,SD1
Lower East Side,Former English Language Learners,2015,Percent,0.8,SD1
Lower East Side,English Language Proficient,2015,Percent,0.61098,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2015,Percent,0.3565,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2015,Percent,0.73361,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2015,Percent,0.74633,SD2
Upper West Side,English Language Learners,2015,Percent,0.20792,SD3
Upper West Side,Former English Language Learners,2015,Percent,0.47727,SD3
Upper West Side,English Language Proficient,2015,Percent,0.75658,SD3
East Harlem,English Language Learners,2015,Percent,0.19048,SD4
East Harlem,Former English Language Learners,2015,Percent,0.66667,SD4
East Harlem,English Language Proficient,2015,Percent,0.79559,SD4
Central Harlem,English Language Learners,2015,Percent,0.19298,SD5
Central Harlem,Former English Language Learners,2015,Percent,0.82353,SD5
Central Harlem,English Language Proficient,2015,Percent,0.64009,SD5
Washington Heights,English Language Learners,2015,Percent,0.35612,SD6
Washington Heights,Former English Language Learners,2015,Percent,0.73171,SD6
Washington Heights,English Language Proficient,2015,Percent,0.6587,SD6
Mott Haven,English Language Learners,2015,Percent,0.25543,SD7
Mott Haven,Former English Language Learners,2015,Percent,0.72973,SD7
Mott Haven,English Language Proficient,2015,Percent,0.53904,SD7
"Hunts Point, Port Morris",English Language Learners,2015,Percent,0.23188,SD8
"Hunts Point, Port Morris",Former English Language Learners,2015,Percent,0.50877,SD8
"Hunts Point, Port Morris",English Language Proficient,2015,Percent,0.45279,SD8
"East Tremont, Morris Heights",English Language Learners,2015,Percent,0.41489,SD9
"East Tremont, Morris Heights",Former English Language Learners,2015,Percent,0.78,SD9
"East Tremont, Morris Heights",English Language Proficient,2015,Percent,0.65153,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2015,Percent,0.29205,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2015,Percent,0.72028,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2015,Percent,0.70453,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2015,Percent,0.37864,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2015,Percent,0.82022,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2015,Percent,0.66683,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2015,Percent,0.40502,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2015,Percent,0.73913,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2015,Percent,0.58012,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2015,Percent,0.61333,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2015,Percent,0.88462,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2015,Percent,0.78278,SD13
"Williamsburg, Greenpoint",English Language Learners,2015,Percent,0.42105,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2015,Percent,0.74468,SD14
"Williamsburg, Greenpoint",English Language Proficient,2015,Percent,0.70883,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2015,Percent,0.26374,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2015,Percent,0.70968,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2015,Percent,0.66502,SD15
Bedford Stuyvesant,English Language Learners,2015,Percent,0,SD16
Bedford Stuyvesant,Former English Language Learners,2015,Percent,0,SD16
Bedford Stuyvesant,English Language Proficient,2015,Percent,0.49702,SD16
Crown Heights,English Language Learners,2015,Percent,0.46108,SD17
Crown Heights,Former English Language Learners,2015,Percent,0.85714,SD17
Crown Heights,English Language Proficient,2015,Percent,0.66918,SD17
"East Flatbush, Canarsie",English Language Learners,2015,Percent,0.51786,SD18
"East Flatbush, Canarsie",Former English Language Learners,2015,Percent,0.70833,SD18
"East Flatbush, Canarsie",English Language Proficient,2015,Percent,0.58112,SD18
East New York,English Language Learners,2015,Percent,0.28289,SD19
East New York,Former English Language Learners,2015,Percent,0.7931,SD19
East New York,English Language Proficient,2015,Percent,0.57899,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2015,Percent,0.34893,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2015,Percent,0.78894,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2015,Percent,0.75146,SD20
"Gravesend, Coney Island",English Language Learners,2015,Percent,0.4055,SD21
"Gravesend, Coney Island",Former English Language Learners,2015,Percent,0.75556,SD21
"Gravesend, Coney Island",English Language Proficient,2015,Percent,0.71939,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2015,Percent,0.22222,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2015,Percent,0.77083,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2015,Percent,0.81333,SD22
"Brownsville, Ocean Hill",English Language Learners,2015,Percent,0,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2015,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2015,Percent,0.40989,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2015,Percent,0.39955,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2015,Percent,0.75152,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2015,Percent,0.71979,SD24
"Flushing, Whitestone",English Language Learners,2015,Percent,0.4185,SD25
"Flushing, Whitestone",Former English Language Learners,2015,Percent,0.81818,SD25
"Flushing, Whitestone",English Language Proficient,2015,Percent,0.69634,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2015,Percent,0.524,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2015,Percent,0.84496,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2015,Percent,0.82555,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2015,Percent,0.30033,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2015,Percent,0.75714,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2015,Percent,0.609,SD27
"Jamaica, Forest Hills",English Language Learners,2015,Percent,0.38021,SD28
"Jamaica, Forest Hills",Former English Language Learners,2015,Percent,0.79104,SD28
"Jamaica, Forest Hills",English Language Proficient,2015,Percent,0.80422,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2015,Percent,0.25806,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2015,Percent,0.6875,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2015,Percent,0.64542,SD29
"Long Island City, Astoria",English Language Learners,2015,Percent,0.47826,SD30
"Long Island City, Astoria",Former English Language Learners,2015,Percent,0.74684,SD30
"Long Island City, Astoria",English Language Proficient,2015,Percent,0.7618,SD30
Staten Island,English Language Learners,2015,Percent,0.26126,SD31
Staten Island,Former English Language Learners,2015,Percent,0.57143,SD31
Staten Island,English Language Proficient,2015,Percent,0.77181,SD31
Bushwick,English Language Learners,2015,Percent,0.30303,SD32
Bushwick,Former English Language Learners,2015,Percent,0.80769,SD32
Bushwick,English Language Proficient,2015,Percent,0.56458,SD32
New York City,English Language Learners,2014,Percent,0.32465,3651000
New York City,Former English Language Learners,2014,Percent,0.69115,3651000
New York City,English Language Proficient,2014,Percent,0.68018,3651000
Bronx,English Language Learners,2014,Percent,0.30875,36005
Bronx,Former English Language Learners,2014,Percent,0.66602,36005
Bronx,English Language Proficient,2014,Percent,0.58463,36005
Brooklyn,English Language Proficient,2014,Percent,0.32566,36047
Brooklyn,Former English Language Learners,2014,Percent,0.70435,36047
Brooklyn,English Language Learners,2014,Percent,0.67123,36047
Manhattan,English Language Proficient,2014,Percent,0.31966,36061
Manhattan,Former English Language Learners,2014,Percent,0.68534,36061
Manhattan,English Language Learners,2014,Percent,0.71055,36061
Queens,English Language Proficient,2014,Percent,0.343,36081
Queens,Former English Language Learners,2014,Percent,0.70189,36081
Queens,English Language Learners,2014,Percent,0.70621,36081
Staten Island,English Language Proficient,2014,Percent,0.31429,36085
Staten Island,Former English Language Learners,2014,Percent,0.68831,36085
Staten Island,English Language Learners,2014,Percent,0.77537,36085
Lower East Side,English Language Learners,2014,Percent,0.26038,SD1
Lower East Side,Former English Language Learners,2014,Percent,0.7,SD1
Lower East Side,English Language Proficient,2014,Percent,0.5873,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2014,Percent,0.34964,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2014,Percent,0.70588,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2014,Percent,0.72405,SD2
Upper West Side,English Language Learners,2014,Percent,0.29412,SD3
Upper West Side,Former English Language Learners,2014,Percent,0.54545,SD3
Upper West Side,English Language Proficient,2014,Percent,0.7357,SD3
East Harlem,English Language Learners,2014,Percent,0.23333,SD4
East Harlem,Former English Language Learners,2014,Percent,0.7619,SD4
East Harlem,English Language Proficient,2014,Percent,0.77752,SD4
Central Harlem,English Language Learners,2014,Percent,0.18966,SD5
Central Harlem,Former English Language Learners,2014,Percent,0.42857,SD5
Central Harlem,English Language Proficient,2014,Percent,0.61816,SD5
Washington Heights,English Language Learners,2014,Percent,0.31661,SD6
Washington Heights,Former English Language Learners,2014,Percent,0.70968,SD6
Washington Heights,English Language Proficient,2014,Percent,0.68118,SD6
Mott Haven,English Language Learners,2014,Percent,0.22414,SD7
Mott Haven,Former English Language Learners,2014,Percent,0.51667,SD7
Mott Haven,English Language Proficient,2014,Percent,0.52247,SD7
"Hunts Point, Port Morris",English Language Learners,2014,Percent,0.16908,SD8
"Hunts Point, Port Morris",Former English Language Learners,2014,Percent,0.53086,SD8
"Hunts Point, Port Morris",English Language Proficient,2014,Percent,0.4745,SD8
"East Tremont, Morris Heights",English Language Learners,2014,Percent,0.39865,SD9
"East Tremont, Morris Heights",Former English Language Learners,2014,Percent,0.67368,SD9
"East Tremont, Morris Heights",English Language Proficient,2014,Percent,0.59346,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2014,Percent,0.27639,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2014,Percent,0.76596,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2014,Percent,0.66094,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2014,Percent,0.33333,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2014,Percent,0.75,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2014,Percent,0.64659,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2014,Percent,0.39385,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2014,Percent,0.63934,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2014,Percent,0.51119,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2014,Percent,0.55435,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2014,Percent,0.79167,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2014,Percent,0.78041,SD13
"Williamsburg, Greenpoint",English Language Learners,2014,Percent,0.23418,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2014,Percent,0.52273,SD14
"Williamsburg, Greenpoint",English Language Proficient,2014,Percent,0.66275,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2014,Percent,0.28421,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2014,Percent,0.54545,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2014,Percent,0.60465,SD15
Bedford Stuyvesant,English Language Learners,2014,Percent,0,SD16
Bedford Stuyvesant,Former English Language Learners,2014,Percent,0,SD16
Bedford Stuyvesant,English Language Proficient,2014,Percent,0.40294,SD16
Crown Heights,English Language Learners,2014,Percent,0.34146,SD17
Crown Heights,Former English Language Learners,2014,Percent,0.78723,SD17
Crown Heights,English Language Proficient,2014,Percent,0.67798,SD17
"East Flatbush, Canarsie",English Language Learners,2014,Percent,0.48649,SD18
"East Flatbush, Canarsie",Former English Language Learners,2014,Percent,0.7037,SD18
"East Flatbush, Canarsie",English Language Proficient,2014,Percent,0.53433,SD18
East New York,English Language Learners,2014,Percent,0.28571,SD19
East New York,Former English Language Learners,2014,Percent,0.75,SD19
East New York,English Language Proficient,2014,Percent,0.54493,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2014,Percent,0.27946,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2014,Percent,0.75253,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2014,Percent,0.7124,SD20
"Gravesend, Coney Island",English Language Learners,2014,Percent,0.44231,SD21
"Gravesend, Coney Island",Former English Language Learners,2014,Percent,0.72561,SD21
"Gravesend, Coney Island",English Language Proficient,2014,Percent,0.72759,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2014,Percent,0.23364,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2014,Percent,0.6506,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2014,Percent,0.77479,SD22
"Brownsville, Ocean Hill",English Language Learners,2014,Percent,0,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2014,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2014,Percent,0.36699,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2014,Percent,0.30604,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2014,Percent,0.70779,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2014,Percent,0.65117,SD24
"Flushing, Whitestone",English Language Learners,2014,Percent,0.38843,SD25
"Flushing, Whitestone",Former English Language Learners,2014,Percent,0.65823,SD25
"Flushing, Whitestone",English Language Proficient,2014,Percent,0.66307,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2014,Percent,0.42667,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2014,Percent,0.75758,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2014,Percent,0.79788,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2014,Percent,0.25874,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2014,Percent,0.61765,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2014,Percent,0.58774,SD27
"Jamaica, Forest Hills",English Language Learners,2014,Percent,0.28638,SD28
"Jamaica, Forest Hills",Former English Language Learners,2014,Percent,0.78481,SD28
"Jamaica, Forest Hills",English Language Proficient,2014,Percent,0.78754,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2014,Percent,0.26667,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2014,Percent,0.7,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2014,Percent,0.63524,SD29
"Long Island City, Astoria",English Language Learners,2014,Percent,0.36779,SD30
"Long Island City, Astoria",Former English Language Learners,2014,Percent,0.67586,SD30
"Long Island City, Astoria",English Language Proficient,2014,Percent,0.71732,SD30
Staten Island,English Language Learners,2014,Percent,0.31429,SD31
Staten Island,Former English Language Learners,2014,Percent,0.68831,SD31
Staten Island,English Language Proficient,2014,Percent,0.77537,SD31
Bushwick,English Language Learners,2014,Percent,0.31532,SD32
Bushwick,Former English Language Learners,2014,Percent,0.65217,SD32
Bushwick,English Language Proficient,2014,Percent,0.50252,SD32
New York City,English Language Learners,2013,Percent,0.32281,3651000
New York City,Former English Language Learners,2013,Percent,0.69916,3651000
New York City,English Language Proficient,2013,Percent,0.64991,3651000
Bronx,English Language Learners,2013,Percent,0.2686,36005
Bronx,Former English Language Learners,2013,Percent,0.63797,36005
Bronx,English Language Proficient,2013,Percent,0.56428,36005
Brooklyn,English Language Proficient,2013,Percent,0.35335,36047
Brooklyn,Former English Language Learners,2013,Percent,0.73123,36047
Brooklyn,English Language Learners,2013,Percent,0.63996,36047
Manhattan,English Language Proficient,2013,Percent,0.29574,36061
Manhattan,Former English Language Learners,2013,Percent,0.66515,36061
Manhattan,English Language Learners,2013,Percent,0.67607,36061
Queens,English Language Proficient,2013,Percent,0.35983,36081
Queens,Former English Language Learners,2013,Percent,0.75043,36081
Queens,English Language Learners,2013,Percent,0.67786,36081
Staten Island,English Language Proficient,2013,Percent,0.27966,36085
Staten Island,Former English Language Learners,2013,Percent,0.63462,36085
Staten Island,English Language Learners,2013,Percent,0.74137,36085
Lower East Side,English Language Learners,2013,Percent,0.33668,SD1
Lower East Side,Former English Language Learners,2013,Percent,0.23077,SD1
Lower East Side,English Language Proficient,2013,Percent,0.57488,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2013,Percent,0.2949,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2013,Percent,0.67984,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2013,Percent,0.68982,SD2
Upper West Side,English Language Learners,2013,Percent,0.17692,SD3
Upper West Side,Former English Language Learners,2013,Percent,0.5102,SD3
Upper West Side,English Language Proficient,2013,Percent,0.68387,SD3
East Harlem,English Language Learners,2013,Percent,0.26829,SD4
East Harlem,Former English Language Learners,2013,Percent,0.62069,SD4
East Harlem,English Language Proficient,2013,Percent,0.74944,SD4
Central Harlem,English Language Learners,2013,Percent,0.09091,SD5
Central Harlem,Former English Language Learners,2013,Percent,0.86667,SD5
Central Harlem,English Language Proficient,2013,Percent,0.61161,SD5
Washington Heights,English Language Learners,2013,Percent,0.36927,SD6
Washington Heights,Former English Language Learners,2013,Percent,0.7625,SD6
Washington Heights,English Language Proficient,2013,Percent,0.62685,SD6
Mott Haven,English Language Learners,2013,Percent,0.204,SD7
Mott Haven,Former English Language Learners,2013,Percent,0.47619,SD7
Mott Haven,English Language Proficient,2013,Percent,0.48812,SD7
"Hunts Point, Port Morris",English Language Learners,2013,Percent,0.09091,SD8
"Hunts Point, Port Morris",Former English Language Learners,2013,Percent,0.54545,SD8
"Hunts Point, Port Morris",English Language Proficient,2013,Percent,0.4461,SD8
"East Tremont, Morris Heights",English Language Learners,2013,Percent,0.34975,SD9
"East Tremont, Morris Heights",Former English Language Learners,2013,Percent,0.61538,SD9
"East Tremont, Morris Heights",English Language Proficient,2013,Percent,0.61337,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2013,Percent,0.25926,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2013,Percent,0.72549,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2013,Percent,0.64854,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2013,Percent,0.33493,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2013,Percent,0.70423,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2013,Percent,0.60733,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2013,Percent,0.30836,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2013,Percent,0.64865,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2013,Percent,0.4623,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2013,Percent,0.54545,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2013,Percent,0.89474,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2013,Percent,0.7669,SD13
"Williamsburg, Greenpoint",English Language Learners,2013,Percent,0.26761,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2013,Percent,0.66667,SD14
"Williamsburg, Greenpoint",English Language Proficient,2013,Percent,0.59046,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2013,Percent,0.25301,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2013,Percent,0.52941,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2013,Percent,0.62758,SD15
Bedford Stuyvesant,English Language Learners,2013,Percent,0.15385,SD16
Bedford Stuyvesant,Former English Language Learners,2013,Percent,0.72727,SD16
Bedford Stuyvesant,English Language Proficient,2013,Percent,0.39326,SD16
Crown Heights,English Language Learners,2013,Percent,0.43333,SD17
Crown Heights,Former English Language Learners,2013,Percent,0.8,SD17
Crown Heights,English Language Proficient,2013,Percent,0.61488,SD17
"East Flatbush, Canarsie",English Language Learners,2013,Percent,0.44737,SD18
"East Flatbush, Canarsie",Former English Language Learners,2013,Percent,0.85714,SD18
"East Flatbush, Canarsie",English Language Proficient,2013,Percent,0.49614,SD18
East New York,English Language Learners,2013,Percent,0.23529,SD19
East New York,Former English Language Learners,2013,Percent,0.65385,SD19
East New York,English Language Proficient,2013,Percent,0.55691,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2013,Percent,0.34668,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2013,Percent,0.77941,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2013,Percent,0.70556,SD20
"Gravesend, Coney Island",English Language Learners,2013,Percent,0.39896,SD21
"Gravesend, Coney Island",Former English Language Learners,2013,Percent,0.73043,SD21
"Gravesend, Coney Island",English Language Proficient,2013,Percent,0.69048,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2013,Percent,0.27309,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2013,Percent,0.61842,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2013,Percent,0.72554,SD22
"Brownsville, Ocean Hill",English Language Learners,2013,Percent,0.125,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2013,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2013,Percent,0.34167,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2013,Percent,0.29695,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2013,Percent,0.73248,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2013,Percent,0.61507,SD24
"Flushing, Whitestone",English Language Learners,2013,Percent,0.37681,SD25
"Flushing, Whitestone",Former English Language Learners,2013,Percent,0.74324,SD25
"Flushing, Whitestone",English Language Proficient,2013,Percent,0.63669,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2013,Percent,0.4902,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2013,Percent,0.83,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2013,Percent,0.79089,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2013,Percent,0.25806,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2013,Percent,0.625,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2013,Percent,0.54195,SD27
"Jamaica, Forest Hills",English Language Learners,2013,Percent,0.3931,SD28
"Jamaica, Forest Hills",Former English Language Learners,2013,Percent,0.77049,SD28
"Jamaica, Forest Hills",English Language Proficient,2013,Percent,0.76129,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2013,Percent,0.23333,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2013,Percent,0.55556,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2013,Percent,0.60305,SD29
"Long Island City, Astoria",English Language Learners,2013,Percent,0.39648,SD30
"Long Island City, Astoria",Former English Language Learners,2013,Percent,0.77419,SD30
"Long Island City, Astoria",English Language Proficient,2013,Percent,0.69224,SD30
Staten Island,English Language Learners,2013,Percent,0.27966,SD31
Staten Island,Former English Language Learners,2013,Percent,0.63462,SD31
Staten Island,English Language Proficient,2013,Percent,0.74137,SD31
Bushwick,English Language Learners,2013,Percent,0.42466,SD32
Bushwick,Former English Language Learners,2013,Percent,0.8,SD32
Bushwick,English Language Proficient,2013,Percent,0.48311,SD32
New York City,English Language Learners,2012,Percent,0.35397,3651000
New York City,Former English Language Learners,2012,Percent,0.74272,3651000
New York City,English Language Proficient,2012,Percent,0.63403,3651000
Bronx,English Language Learners,2012,Percent,0.28293,36005
