"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
The Rockaways,White,2013,Percent,0.36544,414
Bronx,White,2013,Percent,0.10735,36005
Brooklyn,White,2013,Percent,0.35784,36047
Manhattan,White,2013,Percent,0.47668,36061
Queens,White,2013,Percent,0.27064,36081
Staten Island,White,2013,Percent,0.63717,36085
New York City,White,2013,Percent,0.33067,3651000
Riverdale,White,2014,Number,37018,208
Williamsbridge,White,2014,Number,10069,212
Throgs Neck,White,2014,Number,41666,210
Pelham Parkway,White,2014,Number,31435,211
Morrisania,White,2014,Number,3761.82309,203
East Tremont,White,2014,Number,3927.17691,206
Bedford Park,White,2014,Number,9235,207
University Heights,White,2014,Number,1940,205
Concourse/Highbridge,White,2014,Number,1988,204
Unionport/Soundview,White,2014,Number,4637,209
Mott Haven,White,2014,Number,1722.45523,201
Hunts Point,White,2014,Number,983.54477,202
Washington Heights,White,2014,Number,36414,112
Manhattanville,White,2014,Number,36048,109
Central Harlem,White,2014,Number,15552,110
East Harlem,White,2014,Number,16753,111
Upper East Side,White,2014,Number,171147,108
Upper West Side,White,2014,Number,134449,107
Chelsea/Clinton,White,2014,Number,60328.99427,104
Midtown Business District,White,2014,Number,30194.00573,105
Murray Hill/Stuyvesant,White,2014,Number,102396,106
Lower East Side,White,2014,Number,53635,103
Battery Park/Tribeca,White,2014,Number,44389.70955,101
Greenwich Village,White,2014,Number,65528.29045,102
Tottenville,White,2014,Number,138658,503
South Beach,White,2014,Number,91934,502
St. George,White,2014,Number,67564,501
Williamsburg/Greenpoint,White,2014,Number,94868,301
Bushwick,White,2014,Number,16360,304
Bedford Stuyvesant,White,2014,Number,25799,303
Fort Greene/Brooklyn Hts,White,2014,Number,57452,302
Park Slope,White,2014,Number,72814,306
Crown Heights North,White,2014,Number,23598,308
Brownsville,White,2014,Number,1786,316
East New York,White,2014,Number,7172,305
Canarsie,White,2014,Number,50114,318
East Flatbush,White,2014,Number,2060,317
Crown Heights South,White,2014,Number,19038,309
Sunset Park,White,2014,Number,32879,307
Bay Ridge,White,2014,Number,77136,310
Borough Park,White,2014,Number,118358,312
Flatbush/Midwood,White,2014,Number,63502,314
Sheepshead Bay,White,2014,Number,105924,315
Bensonhurst,White,2014,Number,86209,311
Coney Island,White,2014,Number,62024,313
Astoria,White,2014,Number,83212,401
Jackson Heights,White,2014,Number,18533,403
Flushing,White,2014,Number,70398,407
Bayside,White,2014,Number,51602,411
Queens Village,White,2014,Number,25067,413
Fresh Meadows/Briarwood,White,2014,Number,51103,408
Elmhurst/Corona,White,2014,Number,10278,404
Rego Park/Forest Hills,White,2014,Number,60009,406
Sunnyside/Woodside,White,2014,Number,38160,402
Ridgewood/Glendale,White,2014,Number,90836,405
Woodhaven,White,2014,Number,27541,409
Jamaica/St. Albans,White,2014,Number,4031,412
Howard Beach,White,2014,Number,31758,410
The Rockaways,White,2014,Number,42103,414
Bronx,White,2014,Number,148383,36005
Brooklyn,White,2014,Number,917093,36047
Manhattan,White,2014,Number,766835,36061
Queens,White,2014,Number,604615,36081
Staten Island,White,2014,Number,298156,36085
New York City,White,2014,Number,2735082,3651000
Riverdale,White,2014,Percent,0.34123,208
Williamsbridge,White,2014,Percent,0.0711,212
Throgs Neck,White,2014,Percent,0.33647,210
Pelham Parkway,White,2014,Percent,0.24188,211
Morrisania,White,2014,Percent,0.04617,203
East Tremont,White,2014,Percent,0.04617,206
Bedford Park,White,2014,Percent,0.07373,207
University Heights,White,2014,Percent,0.01465,205
Concourse/Highbridge,White,2014,Percent,0.01405,204
Unionport/Soundview,White,2014,Percent,0.02488,209
Mott Haven,White,2014,Percent,0.01717,201
Hunts Point,White,2014,Percent,0.01717,202
Washington Heights,White,2014,Percent,0.16983,112
Manhattanville,White,2014,Percent,0.27676,109
Central Harlem,White,2014,Percent,0.11968,110
East Harlem,White,2014,Percent,0.13891,111
Upper East Side,White,2014,Percent,0.78013,108
Upper West Side,White,2014,Percent,0.68457,107
Chelsea/Clinton,White,2014,Percent,0.6187,104
Midtown Business District,White,2014,Percent,0.6187,105
Murray Hill/Stuyvesant,White,2014,Percent,0.70294,106
Lower East Side,White,2014,Percent,0.32839,103
Battery Park/Tribeca,White,2014,Percent,0.72273,101
Greenwich Village,White,2014,Percent,0.72273,102
Tottenville,White,2014,Percent,0.83548,503
South Beach,White,2014,Percent,0.69807,502
St. George,White,2014,Percent,0.38861,501
Williamsburg/Greenpoint,White,2014,Percent,0.63508,301
Bushwick,White,2014,Percent,0.11799,304
Bedford Stuyvesant,White,2014,Percent,0.18718,303
Fort Greene/Brooklyn Hts,White,2014,Percent,0.44269,302
Park Slope,White,2014,Percent,0.63409,306
Crown Heights North,White,2014,Percent,0.19036,308
Brownsville,White,2014,Percent,0.01438,316
East New York,White,2014,Percent,0.04744,305
Canarsie,White,2014,Percent,0.24036,318
East Flatbush,White,2014,Percent,0.01517,317
Crown Heights South,White,2014,Percent,0.17179,309
Sunset Park,White,2014,Percent,0.21763,307
Bay Ridge,White,2014,Percent,0.5882,310
Borough Park,White,2014,Percent,0.71053,312
Flatbush/Midwood,White,2014,Percent,0.40057,314
Sheepshead Bay,White,2014,Percent,0.71748,315
Bensonhurst,White,2014,Percent,0.46686,311
Coney Island,White,2014,Percent,0.5835,313
Astoria,White,2014,Percent,0.48206,401
Jackson Heights,White,2014,Percent,0.10234,403
Flushing,White,2014,Percent,0.28154,407
Bayside,White,2014,Percent,0.42544,411
Queens Village,White,2014,Percent,0.12512,413
Fresh Meadows/Briarwood,White,2014,Percent,0.32762,408
Elmhurst/Corona,White,2014,Percent,0.0711,404
Rego Park/Forest Hills,White,2014,Percent,0.53704,406
Sunnyside/Woodside,White,2014,Percent,0.28042,402
Ridgewood/Glendale,White,2014,Percent,0.54087,405
Woodhaven,White,2014,Percent,0.18533,409
Jamaica/St. Albans,White,2014,Percent,0.01694,412
Howard Beach,White,2014,Percent,0.23545,410
The Rockaways,White,2014,Percent,0.35841,414
Bronx,White,2014,Percent,0.10497,36005
Brooklyn,White,2014,Percent,0.35673,36047
Manhattan,White,2014,Percent,0.47382,36061
Queens,White,2014,Percent,0.26511,36081
Staten Island,White,2014,Percent,0.63233,36085
New York City,White,2014,Percent,0.32736,3651000
Riverdale,White,2015,Number,37160,208
Williamsbridge,White,2015,Number,10623,212
Throgs Neck,White,2015,Number,39109,210
Pelham Parkway,White,2015,Number,29799,211
Morrisania,White,2015,Number,3872.88224,203
East Tremont,White,2015,Number,4043.11776,206
Bedford Park,White,2015,Number,10051,207
University Heights,White,2015,Number,1965,205
Concourse/Highbridge,White,2015,Number,2303,204
Unionport/Soundview,White,2015,Number,5309,209
Mott Haven,White,2015,Number,1714.18031,201
Hunts Point,White,2015,Number,978.81969,202
Washington Heights,White,2015,Number,36930,112
Manhattanville,White,2015,Number,36664,109
Central Harlem,White,2015,Number,16650,110
East Harlem,White,2015,Number,16943,111
Upper East Side,White,2015,Number,171598,108
Upper West Side,White,2015,Number,132177,107
Chelsea/Clinton,White,2015,Number,60887.47883,104
Midtown Business District,White,2015,Number,30473.52117,105
Murray Hill/Stuyvesant,White,2015,Number,102883,106
Lower East Side,White,2015,Number,52635,103
Battery Park/Tribeca,White,2015,Number,44366.28661,101
Greenwich Village,White,2015,Number,65493.71339,102
Tottenville,White,2015,Number,139172,503
South Beach,White,2015,Number,92142,502
St. George,White,2015,Number,65486,501
Williamsburg/Greenpoint,White,2015,Number,98181,301
Bushwick,White,2015,Number,18353,304
Bedford Stuyvesant,White,2015,Number,29774,303
Fort Greene/Brooklyn Hts,White,2015,Number,58775,302
Park Slope,White,2015,Number,73964,306
Crown Heights North,White,2015,Number,24322,308
Brownsville,White,2015,Number,2350,316
East New York,White,2015,Number,6407,305
Canarsie,White,2015,Number,47635,318
East Flatbush,White,2015,Number,2723,317
Crown Heights South,White,2015,Number,20550,309
Sunset Park,White,2015,Number,33535,307
Bay Ridge,White,2015,Number,75145,310
Borough Park,White,2015,Number,117453,312
Flatbush/Midwood,White,2015,Number,64804,314
Sheepshead Bay,White,2015,Number,104817,315
Bensonhurst,White,2015,Number,85357,311
Coney Island,White,2015,Number,62800,313
Astoria,White,2015,Number,84121,401
Jackson Heights,White,2015,Number,18743,403
Flushing,White,2015,Number,67617,407
Bayside,White,2015,Number,50914,411
Queens Village,White,2015,Number,24632,413
Fresh Meadows/Briarwood,White,2015,Number,51458,408
Elmhurst/Corona,White,2015,Number,9319,404
Rego Park/Forest Hills,White,2015,Number,59371,406
Sunnyside/Woodside,White,2015,Number,38859,402
Ridgewood/Glendale,White,2015,Number,92226,405
Woodhaven,White,2015,Number,28017,409
Jamaica/St. Albans,White,2015,Number,3904,412
Howard Beach,White,2015,Number,30913,410
The Rockaways,White,2015,Number,41287,414
Bronx,White,2015,Number,146928,36005
Brooklyn,White,2015,Number,926945,36047
Manhattan,White,2015,Number,767701,36061
Queens,White,2015,Number,601381,36081
Staten Island,White,2015,Number,296800,36085
New York City,White,2015,Number,2739755,3651000
Riverdale,White,2015,Percent,0.33959,208
Williamsbridge,White,2015,Percent,0.0742,212
Throgs Neck,White,2015,Percent,0.31528,210
Pelham Parkway,White,2015,Percent,0.22776,211
Morrisania,White,2015,Percent,0.04648,203
East Tremont,White,2015,Percent,0.04648,206
Bedford Park,White,2015,Percent,0.07815,207
University Heights,White,2015,Percent,0.01449,205
Concourse/Highbridge,White,2015,Percent,0.01629,204
Unionport/Soundview,White,2015,Percent,0.02851,209
Mott Haven,White,2015,Percent,0.01696,201
Hunts Point,White,2015,Percent,0.01696,202
Washington Heights,White,2015,Percent,0.17055,112
Manhattanville,White,2015,Percent,0.27954,109
Central Harlem,White,2015,Percent,0.12624,110
East Harlem,White,2015,Percent,0.13925,111
Upper East Side,White,2015,Percent,0.77753,108
Upper West Side,White,2015,Percent,0.67975,107
Chelsea/Clinton,White,2015,Percent,0.6115,104
Midtown Business District,White,2015,Percent,0.6115,105
Murray Hill/Stuyvesant,White,2015,Percent,0.70243,106
Lower East Side,White,2015,Percent,0.321,103
Battery Park/Tribeca,White,2015,Percent,0.71679,101
Greenwich Village,White,2015,Percent,0.71679,102
Tottenville,White,2015,Percent,0.83541,503
South Beach,White,2015,Percent,0.69016,502
St. George,White,2015,Percent,0.37989,501
Williamsburg/Greenpoint,White,2015,Percent,0.63938,301
Bushwick,White,2015,Percent,0.13423,304
Bedford Stuyvesant,White,2015,Percent,0.21282,303
Fort Greene/Brooklyn Hts,White,2015,Percent,0.44564,302
Park Slope,White,2015,Percent,0.63812,306
Crown Heights North,White,2015,Percent,0.19394,308
Brownsville,White,2015,Percent,0.01869,316
East New York,White,2015,Percent,0.04157,305
Canarsie,White,2015,Percent,0.22885,318
East Flatbush,White,2015,Percent,0.01994,317
Crown Heights South,White,2015,Percent,0.18399,309
Sunset Park,White,2015,Percent,0.21974,307
Bay Ridge,White,2015,Percent,0.5793,310
Borough Park,White,2015,Percent,0.71024,312
Flatbush/Midwood,White,2015,Percent,0.402,314
Sheepshead Bay,White,2015,Percent,0.70103,315
Bensonhurst,White,2015,Percent,0.4507,311
Coney Island,White,2015,Percent,0.58246,313
Astoria,White,2015,Percent,0.48393,401
Jackson Heights,White,2015,Percent,0.10206,403
Flushing,White,2015,Percent,0.27036,407
Bayside,White,2015,Percent,0.42067,411
Queens Village,White,2015,Percent,0.12332,413
Fresh Meadows/Briarwood,White,2015,Percent,0.32156,408
Elmhurst/Corona,White,2015,Percent,0.06497,404
Rego Park/Forest Hills,White,2015,Percent,0.51857,406
Sunnyside/Woodside,White,2015,Percent,0.28038,402
Ridgewood/Glendale,White,2015,Percent,0.53991,405
Woodhaven,White,2015,Percent,0.18292,409
Jamaica/St. Albans,White,2015,Percent,0.01649,412
Howard Beach,White,2015,Percent,0.22626,410
The Rockaways,White,2015,Percent,0.34719,414
Bronx,White,2015,Percent,0.10287,36005
Brooklyn,White,2015,Percent,0.35717,36047
Manhattan,White,2015,Percent,0.47112,36061
Queens,White,2015,Percent,0.26134,36081
Staten Island,White,2015,Percent,0.62817,36085
New York City,White,2015,Percent,0.32513,3651000
Riverdale,White,2016,Number,35582,208
Williamsbridge,White,2016,Number,9947,212
Throgs Neck,White,2016,Number,35837,210
Pelham Parkway,White,2016,Number,28250,211
Morrisania,White,2016,Number,3774.05427,203
East Tremont,White,2016,Number,3939.94573,206
Bedford Park,White,2016,Number,8623,207
University Heights,White,2016,Number,1734,205
Concourse/Highbridge,White,2016,Number,2383,204
Unionport/Soundview,White,2016,Number,5264,209
Mott Haven,White,2016,Number,1633.9773,201
Hunts Point,White,2016,Number,933.0227,202
Washington Heights,White,2016,Number,38922,112
Manhattanville,White,2016,Number,37094,109
Central Harlem,White,2016,Number,17744,110
East Harlem,White,2016,Number,18570,111
Upper East Side,White,2016,Number,168702,108
Upper West Side,White,2016,Number,131162,107
Chelsea/Clinton,White,2016,Number,60642.89192,104
Midtown Business District,White,2016,Number,30351.10808,105
Murray Hill/Stuyvesant,White,2016,Number,101877,106
Lower East Side,White,2016,Number,53181,103
Battery Park/Tribeca,White,2016,Number,44968.82165,101
Greenwich Village,White,2016,Number,66383.17835,102
Tottenville,White,2016,Number,138438,503
South Beach,White,2016,Number,92469,502
St. George,White,2016,Number,65431,501
Williamsburg/Greenpoint,White,2016,Number,99153,301
Bushwick,White,2016,Number,20135,304
Bedford Stuyvesant,White,2016,Number,32919,303
Fort Greene/Brooklyn Hts,White,2016,Number,60654,302
Park Slope,White,2016,Number,75216,306
Crown Heights North,White,2016,Number,27219,308
Brownsville,White,2016,Number,2610,316
East New York,White,2016,Number,5934,305
Canarsie,White,2016,Number,47974,318
East Flatbush,White,2016,Number,3104,317
Crown Heights South,White,2016,Number,22001,309
Sunset Park,White,2016,Number,33714,307
Bay Ridge,White,2016,Number,71612,310
Borough Park,White,2016,Number,116491,312
Flatbush/Midwood,White,2016,Number,64240,314
Sheepshead Bay,White,2016,Number,104365,315
Bensonhurst,White,2016,Number,83496,311
Coney Island,White,2016,Number,63148,313
Astoria,White,2016,Number,82441,401
Jackson Heights,White,2016,Number,18132,403
Flushing,White,2016,Number,63938,407
Bayside,White,2016,Number,49537,411
Queens Village,White,2016,Number,23472,413
Fresh Meadows/Briarwood,White,2016,Number,51443,408
Elmhurst/Corona,White,2016,Number,8996,404
Rego Park/Forest Hills,White,2016,Number,58637,406
Sunnyside/Woodside,White,2016,Number,39077,402
Ridgewood/Glendale,White,2016,Number,92572,405
Woodhaven,White,2016,Number,27757,409
Jamaica/St. Albans,White,2016,Number,4004,412
Howard Beach,White,2016,Number,29609,410
The Rockaways,White,2016,Number,42536,414
Bronx,White,2016,Number,137901,36005
Brooklyn,White,2016,Number,933985,36047
Manhattan,White,2016,Number,769598,36061
Queens,White,2016,Number,592151,36081
Staten Island,White,2016,Number,296338,36085
New York City,White,2016,Number,2729973,3651000
Riverdale,White,2016,Percent,0.32403,208
Williamsbridge,White,2016,Percent,0.06891,212
Throgs Neck,White,2016,Percent,0.29275,210
Pelham Parkway,White,2016,Percent,0.21815,211
Morrisania,White,2016,Percent,0.04489,203
East Tremont,White,2016,Percent,0.04489,206
Bedford Park,White,2016,Percent,0.06635,207
University Heights,White,2016,Percent,0.01266,205
Concourse/Highbridge,White,2016,Percent,0.01689,204
Unionport/Soundview,White,2016,Percent,0.02777,209
Mott Haven,White,2016,Percent,0.01591,201
Hunts Point,White,2016,Percent,0.01591,202
Washington Heights,White,2016,Percent,0.17797,112
Manhattanville,White,2016,Percent,0.2856,109
Central Harlem,White,2016,Percent,0.1305,110
East Harlem,White,2016,Percent,0.15153,111
Upper East Side,White,2016,Percent,0.76019,108
Upper West Side,White,2016,Percent,0.67709,107
Chelsea/Clinton,White,2016,Percent,0.60943,104
Midtown Business District,White,2016,Percent,0.60943,105
Murray Hill/Stuyvesant,White,2016,Percent,0.69422,106
Lower East Side,White,2016,Percent,0.33091,103
Battery Park/Tribeca,White,2016,Percent,0.71615,101
Greenwich Village,White,2016,Percent,0.71615,102
Tottenville,White,2016,Percent,0.83582,503
South Beach,White,2016,Percent,0.68332,502
St. George,White,2016,Percent,0.3796,501
Williamsburg/Greenpoint,White,2016,Percent,0.62981,301
Bushwick,White,2016,Percent,0.14823,304
Bedford Stuyvesant,White,2016,Percent,0.2307,303
Fort Greene/Brooklyn Hts,White,2016,Percent,0.44704,302
Park Slope,White,2016,Percent,0.6465,306
Crown Heights North,White,2016,Percent,0.21327,308
Brownsville,White,2016,Percent,0.02112,316
East New York,White,2016,Percent,0.0381,305
Canarsie,White,2016,Percent,0.22963,318
East Flatbush,White,2016,Percent,0.02239,317
Crown Heights South,White,2016,Percent,0.19763,309
Sunset Park,White,2016,Percent,0.22289,307
Bay Ridge,White,2016,Percent,0.57285,310
Borough Park,White,2016,Percent,0.70668,312
Flatbush/Midwood,White,2016,Percent,0.39647,314
Sheepshead Bay,White,2016,Percent,0.69147,315
Bensonhurst,White,2016,Percent,0.4416,311
Coney Island,White,2016,Percent,0.57472,313
Astoria,White,2016,Percent,0.47801,401
Jackson Heights,White,2016,Percent,0.10042,403
Flushing,White,2016,Percent,0.25559,407
Bayside,White,2016,Percent,0.41309,411
Queens Village,White,2016,Percent,0.11686,413
Fresh Meadows/Briarwood,White,2016,Percent,0.31648,408
Elmhurst/Corona,White,2016,Percent,0.06322,404
Rego Park/Forest Hills,White,2016,Percent,0.5115,406
Sunnyside/Woodside,White,2016,Percent,0.28095,402
Ridgewood/Glendale,White,2016,Percent,0.53129,405
Woodhaven,White,2016,Percent,0.17909,409
Jamaica/St. Albans,White,2016,Percent,0.0167,412
Howard Beach,White,2016,Percent,0.21601,410
The Rockaways,White,2016,Percent,0.35004,414
Bronx,White,2016,Percent,0.09598,36005
Brooklyn,White,2016,Percent,0.35828,36047
Manhattan,White,2016,Percent,0.47071,36061
Queens,White,2016,Percent,0.25634,36081
Staten Island,White,2016,Percent,0.62608,36085
New York City,White,2016,Percent,0.32262,3651000
Riverdale,White,2017,Number,36369,208
Williamsbridge,White,2017,Number,9790,212
Throgs Neck,White,2017,Number,34777,210
Pelham Parkway,White,2017,Number,28462,211
Morrisania,White,2017,Number,3572.48435,203
East Tremont,White,2017,Number,3729.51565,206
Bedford Park,White,2017,Number,8359,207
University Heights,White,2017,Number,1648,205
Concourse/Highbridge,White,2017,Number,2468,204
Unionport/Soundview,White,2017,Number,5388,209
Mott Haven,White,2017,Number,1980.25063,201
Hunts Point,White,2017,Number,1130.74937,202
Washington Heights,White,2017,Number,41181,112
Manhattanville,White,2017,Number,37498,109
Central Harlem,White,2017,Number,19327,110
East Harlem,White,2017,Number,17382,111
Upper East Side,White,2017,Number,168208,108
Upper West Side,White,2017,Number,131482,107
Chelsea/Clinton,White,2017,Number,60176.37737,104
Midtown Business District,White,2017,Number,30117.62263,105
Murray Hill/Stuyvesant,White,2017,Number,102255,106
Lower East Side,White,2017,Number,52136,103
Battery Park/Tribeca,White,2017,Number,45882.31646,101
Greenwich Village,White,2017,Number,67731.68354,102
Tottenville,White,2017,Number,138120,503
South Beach,White,2017,Number,91074,502
St. George,White,2017,Number,66322,501
Williamsburg/Greenpoint,White,2017,Number,100665,301
Bushwick,White,2017,Number,23191,304
Bedford Stuyvesant,White,2017,Number,35307,303
Fort Greene/Brooklyn Hts,White,2017,Number,62531,302
Park Slope,White,2017,Number,76780,306
Crown Heights North,White,2017,Number,28425,308
Brownsville,White,2017,Number,3120,316
East New York,White,2017,Number,6082,305
Canarsie,White,2017,Number,48288,318
East Flatbush,White,2017,Number,3400,317
Crown Heights South,White,2017,Number,23792,309
Sunset Park,White,2017,Number,33856,307
Bay Ridge,White,2017,Number,69752,310
Borough Park,White,2017,Number,116117,312
Flatbush/Midwood,White,2017,Number,66121,314
Sheepshead Bay,White,2017,Number,102905,315
Bensonhurst,White,2017,Number,82510,311
Coney Island,White,2017,Number,64677,313
Astoria,White,2017,Number,82082,401
Jackson Heights,White,2017,Number,17975,403
Flushing,White,2017,Number,64711,407
Bayside,White,2017,Number,49055,411
Queens Village,White,2017,Number,23377,413
Fresh Meadows/Briarwood,White,2017,Number,50487,408
Elmhurst/Corona,White,2017,Number,9585,404
Rego Park/Forest Hills,White,2017,Number,56706,406
Sunnyside/Woodside,White,2017,Number,39224,402
Ridgewood/Glendale,White,2017,Number,94554,405
Woodhaven,White,2017,Number,27914,409
Jamaica/St. Albans,White,2017,Number,4120,412
Howard Beach,White,2017,Number,30124,410
The Rockaways,White,2017,Number,43159,414
Bronx,White,2017,Number,137674,36005
Brooklyn,White,2017,Number,947519,36047
Manhattan,White,2017,Number,773377,36061
Queens,White,2017,Number,593073,36081
Staten Island,White,2017,Number,295516,36085
New York City,White,2017,Number,2747159,3651000
Riverdale,White,2017,Percent,0.32711,208
Williamsbridge,White,2017,Percent,0.0664,212
Throgs Neck,White,2017,Percent,0.28369,210
Pelham Parkway,White,2017,Percent,0.21963,211
Morrisania,White,2017,Percent,0.04176,203
East Tremont,White,2017,Percent,0.04176,206
Bedford Park,White,2017,Percent,0.06269,207
University Heights,White,2017,Percent,0.01174,205
Concourse/Highbridge,White,2017,Percent,0.01707,204
Unionport/Soundview,White,2017,Percent,0.02823,209
Mott Haven,White,2017,Percent,0.01932,201
Hunts Point,White,2017,Percent,0.01932,202
Washington Heights,White,2017,Percent,0.18556,112
Manhattanville,White,2017,Percent,0.28517,109
Central Harlem,White,2017,Percent,0.13964,110
East Harlem,White,2017,Percent,0.13826,111
Upper East Side,White,2017,Percent,0.75593,108
Upper West Side,White,2017,Percent,0.6727,107
Chelsea/Clinton,White,2017,Percent,0.59328,104
Midtown Business District,White,2017,Percent,0.59328,105
Murray Hill/Stuyvesant,White,2017,Percent,0.68719,106
Lower East Side,White,2017,Percent,0.32656,103
Battery Park/Tribeca,White,2017,Percent,0.72039,101
Greenwich Village,White,2017,Percent,0.72039,102
Tottenville,White,2017,Percent,0.83407,503
South Beach,White,2017,Percent,0.66546,502
St. George,White,2017,Percent,0.38228,501
Williamsburg/Greenpoint,White,2017,Percent,0.62603,301
Bushwick,White,2017,Percent,0.17113,304
Bedford Stuyvesant,White,2017,Percent,0.24306,303
Fort Greene/Brooklyn Hts,White,2017,Percent,0.44921,302
Park Slope,White,2017,Percent,0.64554,306
Crown Heights North,White,2017,Percent,0.21633,308
Brownsville,White,2017,Percent,0.02569,316
East New York,White,2017,Percent,0.0383,305
Canarsie,White,2017,Percent,0.22778,318
East Flatbush,White,2017,Percent,0.02463,317
Crown Heights South,White,2017,Percent,0.21598,309
Sunset Park,White,2017,Percent,0.22577,307
Bay Ridge,White,2017,Percent,0.55868,310
Borough Park,White,2017,Percent,0.70605,312
Flatbush/Midwood,White,2017,Percent,0.40298,314
Sheepshead Bay,White,2017,Percent,0.66805,315
Bensonhurst,White,2017,Percent,0.42979,311
Coney Island,White,2017,Percent,0.56631,313
Astoria,White,2017,Percent,0.47267,401
Jackson Heights,White,2017,Percent,0.09976,403
Flushing,White,2017,Percent,0.25665,407
Bayside,White,2017,Percent,0.40495,411
Queens Village,White,2017,Percent,0.11368,413
Fresh Meadows/Briarwood,White,2017,Percent,0.30593,408
Elmhurst/Corona,White,2017,Percent,0.06692,404
Rego Park/Forest Hills,White,2017,Percent,0.4863,406
Sunnyside/Woodside,White,2017,Percent,0.2824,402
Ridgewood/Glendale,White,2017,Percent,0.52068,405
Woodhaven,White,2017,Percent,0.18005,409
Jamaica/St. Albans,White,2017,Percent,0.01686,412
Howard Beach,White,2017,Percent,0.21693,410
The Rockaways,White,2017,Percent,0.35085,414
Bronx,White,2017,Percent,0.09457,36005
Brooklyn,White,2017,Percent,0.35957,36047
Manhattan,White,2017,Percent,0.46761,36061
Queens,White,2017,Percent,0.25353,36081
Staten Island,White,2017,Percent,0.6209,36085
New York City,White,2017,Percent,0.32093,3651000
Riverdale,Black,2017,Number,13439,208
Williamsbridge,Black,2017,Number,95936,212
Throgs Neck,Black,2017,Number,34218,210
Pelham Parkway,Black,2017,Number,27717,211
Morrisania,Black,2017,Number,26163.97127,203
East Tremont,Black,2017,Number,27314.02873,206
Bedford Park,Black,2017,Number,19726,207
University Heights,Black,2017,Number,38616,205
Concourse/Highbridge,Black,2017,Number,42385,204
Unionport/Soundview,Black,2017,Number,55610,209
Mott Haven,Black,2017,Number,29464.42354,201
Hunts Point,Black,2017,Number,16824.57646,202
Washington Heights,Black,2017,Number,17551,112
Manhattanville,Black,2017,Number,28363,109
Central Harlem,Black,2017,Number,77699,110
East Harlem,Black,2017,Number,37610,111
Upper East Side,Black,2017,Number,5409,108
Upper West Side,Black,2017,Number,10850,107
Chelsea/Clinton,Black,2017,Number,6083.34964,104
Midtown Business District,Black,2017,Number,3044.65036,105
Murray Hill/Stuyvesant,Black,2017,Number,4941,106
Lower East Side,Black,2017,Number,11761,103
Battery Park/Tribeca,Black,2017,Number,1467.16475,101
Greenwich Village,Black,2017,Number,2165.83525,102
Tottenville,Black,2017,Number,1725,503
South Beach,Black,2017,Number,5591,502
St. George,Black,2017,Number,37284,501
Williamsburg/Greenpoint,Black,2017,Number,7267,301
Bushwick,Black,2017,Number,25611,304
Bedford Stuyvesant,Black,2017,Number,74176,303
Fort Greene/Brooklyn Hts,Black,2017,Number,37068,302
Park Slope,Black,2017,Number,7927,306
Crown Heights North,Black,2017,Number,76398,308
Brownsville,Black,2017,Number,88731,316
East New York,Black,2017,Number,82729,305
Canarsie,Black,2017,Number,132518,318
East Flatbush,Black,2017,Number,120227,317
Crown Heights South,Black,2017,Number,71912,309
Sunset Park,Black,2017,Number,3783,307
Bay Ridge,Black,2017,Number,2104,310
Borough Park,Black,2017,Number,3802,312
Flatbush/Midwood,Black,2017,Number,50410,314
Sheepshead Bay,Black,2017,Number,5998,315
Bensonhurst,Black,2017,Number,2001,311
Coney Island,Black,2017,Number,12726,313
Astoria,Black,2017,Number,11657,401
Jackson Heights,Black,2017,Number,8597,403
Flushing,Black,2017,Number,5291,407
Bayside,Black,2017,Number,2273,411
Queens Village,Black,2017,Number,114449,413
Fresh Meadows/Briarwood,Black,2017,Number,19015,408
Elmhurst/Corona,Black,2017,Number,10947,404
Rego Park/Forest Hills,Black,2017,Number,3291,406
Sunnyside/Woodside,Black,2017,Number,1920,402
Ridgewood/Glendale,Black,2017,Number,2308,405
Woodhaven,Black,2017,Number,8493,409
Jamaica/St. Albans,Black,2017,Number,149494,412
Howard Beach,Black,2017,Number,20603,410
The Rockaways,Black,2017,Number,43224,414
Bronx,Black,2017,Number,427414,36005
Brooklyn,Black,2017,Number,805388,36047
Manhattan,Black,2017,Number,206945,36061
Queens,Black,2017,Number,401543,36081
Staten Island,Black,2017,Number,44600,36085
New York City,Black,2017,Number,1885890,3651000
Riverdale,Black,2017,Percent,0.12087,208
Williamsbridge,Black,2017,Percent,0.65065,212
Throgs Neck,Black,2017,Percent,0.27913,210
Pelham Parkway,Black,2017,Percent,0.21388,211
Morrisania,Black,2017,Percent,0.30581,203
East Tremont,Black,2017,Percent,0.30581,206
Bedford Park,Black,2017,Percent,0.14794,207
University Heights,Black,2017,Percent,0.27519,205
Concourse/Highbridge,Black,2017,Percent,0.29309,204
Unionport/Soundview,Black,2017,Percent,0.29138,209
